,Filings,URLs,Filing Date
0,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512379221/0001193125-12-379221-index.htm,2012-09-04
1,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999712012947/9999999997-12-012947-index.htm,2012-08-27
2,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000119312512325997/0001193125-12-325997-index.htm,2012-07-31
3,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512316895/0001193125-12-316895-index.htm,2012-07-26
4,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512282349/0001193125-12-282349-index.htm,2012-06-25
5,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000119312512241917/0001193125-12-241917-index.htm,2012-05-21
6,424B4,https://www.sec.gov/Archives/edgar/data/1326801/000119312512240111/0001193125-12-240111-index.htm,2012-05-18
7,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999712009764/9999999997-12-009764-index.htm,2012-05-18
8,EFFECT,https://www.sec.gov/Archives/edgar/data/1326801/999999999512001584/9999999995-12-001584-index.htm,2012-05-17 16:01:00
9,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512235588/0001193125-12-235588-index.htm,2012-05-16
10,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512233888/0001193125-12-233888-index.htm,2012-05-15
11,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512232582/0001193125-12-232582-index.htm,2012-05-15
12,CERTNAS,https://www.sec.gov/Archives/edgar/data/1326801/999999999712009505/9999999997-12-009505-index.htm,2012-05-14
13,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512231717/0001193125-12-231717-index.htm,2012-05-14
14,8-A12B,https://www.sec.gov/Archives/edgar/data/1326801/000119312512230161/0001193125-12-230161-index.htm,2012-05-14
15,FWP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512222498/0001193125-12-222498-index.htm,2012-05-09
16,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512222368/0001193125-12-222368-index.htm,2012-05-09
17,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512208192/0001193125-12-208192-index.htm,2012-05-03
18,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012022330/0000000000-12-022330-index.htm,2012-05-01
19,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512181321/0001193125-12-181321-index.htm,2012-04-25
20,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512175673/0001193125-12-175673-index.htm,2012-04-23
21,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012018239/0000000000-12-018239-index.htm,2012-04-10
22,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512135034/0001193125-12-135034-index.htm,2012-03-27
23,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512134663/0001193125-12-134663-index.htm,2012-03-27
24,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012014938/0000000000-12-014938-index.htm,2012-03-23
25,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012014780/0000000000-12-014780-index.htm,2012-03-22
26,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512101422/0001193125-12-101422-index.htm,2012-03-07
27,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512046715/0001193125-12-046715-index.htm,2012-02-08
28,S-1,https://www.sec.gov/Archives/edgar/data/1326801/000119312512034517/0001193125-12-034517-index.htm,2012-02-01
29,NO ACT,https://www.sec.gov/Archives/edgar/data/1326801/999999999708043090/9999999997-08-043090-index.htm,2008-10-14
30,REGDEX/A,https://www.sec.gov/Archives/edgar/data/1326801/999999999706030858/9999999997-06-030858-index.htm,2006-07-10
31,REGDEX,https://www.sec.gov/Archives/edgar/data/1326801/999999999706019912/9999999997-06-019912-index.htm,2006-05-08
32,REGDEX/A,https://www.sec.gov/Archives/edgar/data/1326801/999999999705038846/9999999997-05-038846-index.htm,2005-09-09
33,REGDEX,https://www.sec.gov/Archives/edgar/data/1326801/999999999705036190/9999999997-05-036190-index.htm,2005-08-16
34,REGDEX,https://www.sec.gov/Archives/edgar/data/1326801/999999999705034797/9999999997-05-034797-index.htm,2005-08-08
35,REGDEX,https://www.sec.gov/Archives/edgar/data/1326801/999999999705024304/9999999997-05-024304-index.htm,2005-05-13
36,REGDEX,https://www.sec.gov/Archives/edgar/data/1326801/999999999705023236/9999999997-05-023236-index.htm,2005-05-06
