,Filings,URLs,Filing Date
52,DEFA14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312517363528/0001193125-17-363528-index.htm,2017-12-07
53,DEF 14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312517363525/0001193125-17-363525-index.htm,2017-12-07
54,10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.htm,2017-11-17
55,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000041/0001403161-17-000041-index.htm,2017-10-25
56,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000039/0001403161-17-000039-index.htm,2017-10-18
57,CT ORDER,https://www.sec.gov/Archives/edgar/data/1403161/999999999717009084/9999999997-17-009084-index.htm,2017-10-04
58,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000119312517281776/0001193125-17-281776-index.htm,2017-09-11
59,424B2,https://www.sec.gov/Archives/edgar/data/1403161/000119312517280620/0001193125-17-280620-index.htm,2017-09-08
60,FWP,https://www.sec.gov/Archives/edgar/data/1403161/000119312517278052/0001193125-17-278052-index.htm,2017-09-07
61,424B2,https://www.sec.gov/Archives/edgar/data/1403161/000119312517277302/0001193125-17-277302-index.htm,2017-09-06
62,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000037/0001403161-17-000037-index.htm,2017-07-20
63,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000036/0001403161-17-000036-index.htm,2017-07-20
64,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000031/0001403161-17-000031-index.htm,2017-07-18
65,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000119312517195339/0001193125-17-195339-index.htm,2017-06-06
66,424B7,https://www.sec.gov/Archives/edgar/data/1403161/000119312517193068/0001193125-17-193068-index.htm,2017-06-02
67,424B7,https://www.sec.gov/Archives/edgar/data/1403161/000119312517189500/0001193125-17-189500-index.htm,2017-05-31
68,POSASR,https://www.sec.gov/Archives/edgar/data/1403161/000119312517189251/0001193125-17-189251-index.htm,2017-05-31
69,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000119312517189237/0001193125-17-189237-index.htm,2017-05-31
70,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000028/0001403161-17-000028-index.htm,2017-04-21
71,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000026/0001403161-17-000026-index.htm,2017-04-20
72,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000023/0001403161-17-000023-index.htm,2017-04-18
73,UPLOAD,https://www.sec.gov/Archives/edgar/data/1403161/000000000017007338/0000000000-17-007338-index.htm,2017-03-06
74,CORRESP,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000018/0001403161-17-000018-index.htm,2017-02-24
75,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000015/0001403161-17-000015-index.htm,2017-02-14
76,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000031506617002158/0000315066-17-002158-index.htm,2017-02-14
77,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000093247117002264/0000932471-17-002264-index.htm,2017-02-10
78,UPLOAD,https://www.sec.gov/Archives/edgar/data/1403161/000000000017004653/0000000000-17-004653-index.htm,2017-02-09
79,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000011/0001403161-17-000011-index.htm,2017-02-02
80,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000010/0001403161-17-000010-index.htm,2017-02-02
81,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000005/0001403161-17-000005-index.htm,2017-02-01
82,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000021545717001850/0000215457-17-001850-index.htm,2017-01-27
83,DEFA14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312516787938/0001193125-16-787938-index.htm,2016-12-08
84,DEF 14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312516787933/0001193125-16-787933-index.htm,2016-12-08
85,10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.htm,2016-11-15
86,S-8,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000054/0001403161-16-000054-index.htm,2016-10-24
87,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000053/0001403161-16-000053-index.htm,2016-10-24
88,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000047/0001403161-16-000047-index.htm,2016-10-21
89,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000044/0001403161-16-000044-index.htm,2016-10-18
90,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000089882216000466/0000898822-16-000466-index.htm,2016-10-17
91,8-K/A,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000041/0001403161-16-000041-index.htm,2016-09-02
92,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000039/0001403161-16-000039-index.htm,2016-07-25
93,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000119312516653695/0001193125-16-653695-index.htm,2016-07-21
94,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000037/0001403161-16-000037-index.htm,2016-07-19
95,D,https://www.sec.gov/Archives/edgar/data/1403161/000120919116128883/0001209191-16-128883-index.htm,2016-06-21
96,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000119312516627003/0001193125-16-627003-index.htm,2016-06-21
97,UPLOAD,https://www.sec.gov/Archives/edgar/data/1403161/000000000016079365/0000000000-16-079365-index.htm,2016-06-06
98,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000034/0001403161-16-000034-index.htm,2016-06-03
99,CORRESP,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000031/0001403161-16-000031-index.htm,2016-05-27
