,Filings,URLs,Filing Date
52,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000035/0001326801-14-000035-index.htm,2014-10-06
53,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000032/0001326801-14-000032-index.htm,2014-07-24
54,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000029/0001326801-14-000029-index.htm,2014-07-23
55,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000025/0001326801-14-000025-index.htm,2014-05-23
56,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000023/0001326801-14-000023-index.htm,2014-04-25
57,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000020/0001326801-14-000020-index.htm,2014-04-23
58,PX14A6G,https://www.sec.gov/Archives/edgar/data/1326801/000121465914002682/0001214659-14-002682-index.htm,2014-04-08
59,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000018/0001326801-14-000018-index.htm,2014-03-31
60,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000016/0001326801-14-000016-index.htm,2014-03-31
61,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000012/0001326801-14-000012-index.htm,2014-03-26
62,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000010/0001326801-14-000010-index.htm,2014-02-19
63,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000031506614002093/0000315066-14-002093-index.htm,2014-02-14
64,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312514040883/0001193125-14-040883-index.htm,2014-02-07
65,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000119312514039819/0001193125-14-039819-index.htm,2014-02-07
66,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/0001326801-14-000007-index.htm,2014-01-31
67,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000003/0001326801-14-000003-index.htm,2014-01-29
68,424B5,https://www.sec.gov/Archives/edgar/data/1326801/000119312513482951/0001193125-13-482951-index.htm,2013-12-23
69,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312513482943/0001193125-13-482943-index.htm,2013-12-23
70,S-3ASR,https://www.sec.gov/Archives/edgar/data/1326801/000119312513478298/0001193125-13-478298-index.htm,2013-12-19
71,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000031/0001326801-13-000031-index.htm,2013-11-01
72,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000029/0001326801-13-000029-index.htm,2013-10-30
73,8-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000025/0001326801-13-000025-index.htm,2013-10-16
74,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000022/0001326801-13-000022-index.htm,2013-08-15
75,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999713012496/9999999997-13-012496-index.htm,2013-08-08
76,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000019/0001326801-13-000019-index.htm,2013-07-25
77,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000016/0001326801-13-000016-index.htm,2013-07-24
78,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000013/0001326801-13-000013-index.htm,2013-06-13
79,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000013027901/0000000000-13-027901-index.htm,2013-05-21
80,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000011/0001326801-13-000011-index.htm,2013-05-02
81,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312513192397/0001193125-13-192397-index.htm,2013-05-01
82,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312513188632/0001193125-13-188632-index.htm,2013-04-30
83,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000119312513178118/0001193125-13-178118-index.htm,2013-04-26
84,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326801/000119312513178090/0001193125-13-178090-index.htm,2013-04-26
85,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312513177980/0001193125-13-177980-index.htm,2013-04-26
86,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000013022777/0000000000-13-022777-index.htm,2013-04-26
87,8-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000008/0001326801-13-000008-index.htm,2013-04-03
88,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312513095499/0001193125-13-095499-index.htm,2013-03-07
89,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000006/0001326801-13-000006-index.htm,2013-03-06
90,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000031506613002447/0000315066-13-002447-index.htm,2013-02-14
91,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000119312513059209/0001193125-13-059209-index.htm,2013-02-14
92,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000119312513055365/0001193125-13-055365-index.htm,2013-02-13
93,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000119312513034740/0001193125-13-034740-index.htm,2013-02-01
94,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999713000618/9999999997-13-000618-index.htm,2013-02-01
95,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.htm,2013-02-01
96,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312513029993/0001193125-13-029993-index.htm,2013-01-30
97,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512485803/0001193125-12-485803-index.htm,2012-11-29
98,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512439795/0001193125-12-439795-index.htm,2012-10-29
99,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680112000006/0001326801-12-000006-index.htm,2012-10-24
100,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000069/0001326801-16-000069-index.htm,2016-04-28
101,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/0001326801-16-000067-index.htm,2016-04-28
102,10-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000063/0001326801-16-000063-index.htm,2016-04-27
103,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000060/0001326801-16-000060-index.htm,2016-04-27
104,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000061/0001326801-16-000061-index.htm,2016-04-27
