,Filings,URLs,Filing Date
52,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000140/0001018724-18-000140-index.htm,2018-08-22
53,UPLOAD,https://www.sec.gov/Archives/edgar/data/1018724/000000000018025080/0000000000-18-025080-index.htm,2018-08-14
54,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000110/0001018724-18-000110-index.htm,2018-07-27
55,10-Q,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000108/0001018724-18-000108-index.htm,2018-07-27
56,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000106/0001018724-18-000106-index.htm,2018-07-26
57,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000104/0001018724-18-000104-index.htm,2018-06-01
58,SD,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000102/0001018724-18-000102-index.htm,2018-05-31
59,PX14A6G,https://www.sec.gov/Archives/edgar/data/1018724/000121465918004095/0001214659-18-004095-index.htm,2018-05-29
60,DEFA14A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518172014/0001193125-18-172014-index.htm,2018-05-23
61,PX14A6G,https://www.sec.gov/Archives/edgar/data/1018724/000137773918000023/0001377739-18-000023-index.htm,2018-05-18
62,DEFA14A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518162552/0001193125-18-162552-index.htm,2018-05-14
63,PX14A6G,https://www.sec.gov/Archives/edgar/data/1018724/000137773918000019/0001377739-18-000019-index.htm,2018-05-14
64,PX14A6G,https://www.sec.gov/Archives/edgar/data/1018724/000138713118001976/0001387131-18-001976-index.htm,2018-05-09
65,EFFECT,https://www.sec.gov/Archives/edgar/data/1018724/999999999518001162/9999999995-18-001162-index.htm,2018-05-07 16:00:00
66,424B3,https://www.sec.gov/Archives/edgar/data/1018724/000119312518154502/0001193125-18-154502-index.htm,2018-05-07
67,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000119312518151828/0001193125-18-151828-index.htm,2018-05-04
68,UPLOAD,https://www.sec.gov/Archives/edgar/data/1018724/000000000018013870/0000000000-18-013870-index.htm,2018-05-04
